section,cluster_name,count,proportion
Grading and Grade Requirements,Student / Term / Students,6,0.25
Graduation and Commencement,Student / Term / Students,1,1.0
Host Family Program,Duke / University / Kunshan,1,1.0
Incomplete Coursework and Excused Absence from Final Exam,Student / Term / Students,4,1.0
Independent Studies,Students / Course / Skills,2,1.0
International Student Services,Chinese / China / Course,1,0.5
International Student Services,Duke / University / Kunshan,1,0.5
Key Components,Credit / Courses / Placement,4,0.5714
Key Components,Duke / University / Kunshan,3,0.4286
Leadership Development,Political / Course / Policy,2,1.0
Majors (listed in alphabetical order),Chinese / China / Course,21,0.168
Majors (listed in alphabetical order),Course / Media / Cultural,16,0.128
Majors (listed in alphabetical order),Credit / Courses / Placement,23,0.184
Majors (listed in alphabetical order),Molecular / Systems / Chemistry,20,0.16
Majors (listed in alphabetical order),Political / Course / Policy,28,0.224
Majors (listed in alphabetical order),Students / Course / Skills,17,0.136
Mission Statement,Duke / University / Kunshan,1,1.0
Notification and Responses,Credit / Courses / Placement,1,1.0
Notification of Intention to Graduate,Duke / University / Kunshan,1,1.0
Office of Global Education and Study Away,Duke / University / Kunshan,14,0.7368
Office of Global Education and Study Away,Student / Term / Students,5,0.2632
Overview,Course / Media / Cultural,1,0.1667
Overview,Duke / University / Kunshan,2,0.3333
Overview,Students / Course / Skills,3,0.5
Part 11: Academic Calendar 2021-22,Student / Term / Students,21,1.0
Part 12: Useful Contacts,Duke / University / Kunshan,3,1.0
Part 1: General Information,Course / Media / Cultural,1,0.3333
Part 1: General Information,Duke / University / Kunshan,1,0.3333
Part 1: General Information,Political / Course / Policy,1,0.3333
Part 7: Academic Advising and Support,Students / Course / Skills,1,1.0
Partners,Chinese / China / Course,1,0.1667
Partners,Duke / University / Kunshan,5,0.8333
Principles of Selection,Duke / University / Kunshan,2,1.0
Procedure for Resolution of Students' Academic Concerns,Duke / University / Kunshan,1,0.2
Procedure for Resolution of Students' Academic Concerns,Student / Term / Students,4,0.8
Progress toward Degree,Credit / Courses / Placement,4,0.5714
Progress toward Degree,Duke / University / Kunshan,1,0.1429
Progress toward Degree,Student / Term / Students,2,0.2857
Refund,Student / Term / Students,12,1.0
Registration,Duke / University / Kunshan,1,0.1429
Registration,Student / Term / Students,6,0.8571
Religious Holidays,Duke / University / Kunshan,1,0.5
Religious Holidays,Student / Term / Students,1,0.5
Requirements for All Majors,Credit / Courses / Placement,4,0.8
Requirements for All Majors,Students / Course / Skills,1,0.2
Residence Life,Duke / University / Kunshan,2,1.0
Scholarships and Financial Aid,Credit / Courses / Placement,2,0.4
Scholarships and Financial Aid,Duke / University / Kunshan,3,0.6
Seven Principles of Duke Kunshan University Academic Advising,Students / Course / Skills,2,1.0
Statement on Diversity and Inclusion,Course / Media / Cultural,1,0.5
Statement on Diversity and Inclusion,Duke / University / Kunshan,1,0.5
Student Affairs,Course / Media / Cultural,1,0.5
Student Affairs,Students / Course / Skills,1,0.5
Student Affairs Conceptual Framework,Duke / University / Kunshan,1,0.5
Student Affairs Conceptual Framework,Political / Course / Policy,1,0.5
Student Clubs and Organizations,Duke / University / Kunshan,1,1.0
Student Conduct,Duke / University / Kunshan,1,0.3333
Student Conduct,Student / Term / Students,2,0.6667
Student Research Opportunities,Duke / University / Kunshan,2,1.0
Submission of Term Paper,Credit / Courses / Placement,1,1.0
The Provision of Academic Information to Parents and Guardians,Student / Term / Students,1,1.0
Time Limit for Completing Undergraduate Degree,Duke / University / Kunshan,1,1.0
Transfer of Work Taken Elsewhere,Duke / University / Kunshan,8,1.0
Tuition and Fees,Duke / University / Kunshan,1,0.5
Tuition and Fees,Student / Term / Students,1,0.5
Two-Credit Writing Courses,Credit / Courses / Placement,1,1.0
Undergraduate Course Load,Credit / Courses / Placement,6,0.2727
Undergraduate Course Load,Duke / University / Kunshan,1,0.0455
Undergraduate Course Load,Student / Term / Students,15,0.6818
Who We Are,Duke / University / Kunshan,5,0.8333
Who We Are,Student / Term / Students,1,0.1667
